"","sim","npv"
"1",1,20722.2981248321
"2",2,18283.7920114862
"3",3,26546.3471757208
"4",4,19393.0108403818
"5",5,20613.8729482866
"6",6,20939.6214308145
"7",7,19182.7163696344
"8",8,20234.3975889609
"9",9,21641.8857991897
"10",10,19907.0329307191
"11",11,23190.8525952596
"12",12,24968.5422667196
"13",13,22989.5733174049
"14",14,24050.4334878321
"15",15,23426.7857140398
"16",16,24240.1436292963
"17",17,21429.2956697124
"18",18,22569.8786127845
"19",19,20907.8419209662
"20",20,24031.961514124
"21",21,17232.6141589141
"22",22,25224.869624283
"23",23,21292.4379892362
"24",24,101370.232539765
"25",25,23954.206367935
"26",26,19580.396894525
"27",27,21086.1448559312
"28",28,23138.8115040896
"29",29,21455.6921129022
"30",30,20775.96198274
"31",31,18196.1682894219
"32",32,28445.5534906773
"33",33,20540.7420241896
"34",34,19400.3579311628
"35",35,17475.6376787991
"36",36,21157.6193454149
"37",37,18261.8321822272
"38",38,38169.1822210857
"39",39,23261.0014949299
"40",40,24304.9853461979
"41",41,17873.2166672963
"42",42,27873.2858266622
"43",43,22948.2420240883
"44",44,17215.4264599681
"45",45,19534.8520431803
"46",46,22677.8815956295
"47",47,19724.5335721226
"48",48,22289.7836917404
"49",49,17754.3855058537
"50",50,28219.6914005625
"51",51,20629.2068500214
"52",52,20986.1776860717
"53",53,24005.5741026256
"54",54,20780.6776928904
"55",55,32702.3849534643
"56",56,23406.496644773
"57",57,24525.1275323892
"58",58,23053.1848054067
"59",59,21413.7079684917
"60",60,19860.9717280203
"61",61,18758.13394449
"62",62,29878.920898451
"63",63,19632.6914468433
"64",64,23377.8034687301
"65",65,23482.0808132428
"66",66,20886.1322939034
"67",67,20403.2243773233
"68",68,3593.27232546177
"69",69,19131.5439106751
"70",70,23312.8935828348
"71",71,13712.5815843646
"72",72,18663.4987065742
"73",73,23579.5759755347
"74",74,21571.871270741
"75",75,59583.9444950042
"76",76,21288.4391908108
"77",77,25756.3681599242
"78",78,23220.2583266915
"79",79,28151.5531896555
"80",80,18337.4935481726
"81",81,22648.260004553
"82",82,21411.0657386115
"83",83,18476.650363717
"84",84,20886.8079919341
"85",85,20632.9639410531
"86",86,17980.1336100396
"87",87,19392.8449362136
"88",88,22323.0482172859
"89",89,20197.6037948704
"90",90,20169.8037042616
"91",91,22188.0112409687
"92",92,24083.2960413595
"93",93,22073.8685302723
"94",94,15694.0445871874
"95",95,25562.4197424651
"96",96,20394.1296648134
"97",97,20644.5837162237
"98",98,20447.8919856367
"99",99,17589.4150840075
"100",100,37001.0464812999
"101",101,17482.783589566
"102",102,30509.3863049667
"103",103,21827.535548964
"104",104,22526.3673894959
"105",105,18122.0879033078
"106",106,22600.4618324611
"107",107,22374.7326051706
"108",108,54458.4933001426
"109",109,17497.4397225739
"110",110,31352.377187963
"111",111,21840.3429049891
"112",112,37923.1761401016
"113",113,24500.0094275814
"114",114,19737.8394577693
"115",115,24819.2181001859
"116",116,24763.5955664931
"117",117,19046.1302424956
"118",118,24612.621839666
"119",119,21118.1325117392
"120",120,20815.9659366698
"121",121,19403.0721048992
"122",122,19460.1716157016
"123",123,22094.1474147033
"124",124,27120.2160035455
"125",125,19926.8170606761
"126",126,20890.7347448102
"127",127,20663.6299140147
"128",128,23390.0649147636
"129",129,20310.2480734868
"130",130,24346.2919480405
"131",131,20322.2566172432
"132",132,21334.575557449
"133",133,19541.0811515695
"134",134,21583.5679527218
"135",135,17381.8644565225
"136",136,21581.252187402
"137",137,27613.0571727715
"138",138,22374.468857767
"139",139,23382.5103420991
"140",140,23277.114812714
"141",141,25025.4767264316
"142",142,23467.9431580653
"143",143,42149.3709159435
"144",144,20701.2778698629
"145",145,30678.71830641
"146",146,18215.04286387
"147",147,20668.2897217228
"148",148,21646.41370093
"149",149,23808.9247884649
"150",150,19939.9097368381
"151",151,19348.9395807461
"152",152,22872.5862149962
"153",153,21229.7348928031
"154",154,53027.8873841183
"155",155,20443.6773408398
"156",156,25445.5898279563
"157",157,22840.0287226755
"158",158,20927.7516185023
"159",159,20243.0086980872
"160",160,17187.9925425922
"161",161,21124.3937325459
"162",162,21953.7253838365
"163",163,21092.2456240276
"164",164,19205.8615464017
"165",165,22682.3009062076
"166",166,19920.774179522
"167",167,19122.2512889022
"168",168,23642.1216054719
"169",169,22973.641160583
"170",170,21392.3793009874
"171",171,21077.138284098
"172",172,18025.0878793354
"173",173,21047.5793793039
"174",174,18493.1911007903
